Section 1: Java,,,,,,Section 2: Python,,,,,,Section 3: Pharo,,,,
Original Results,,,,,,Original Results,,,,,,Original Results,,,,
,precision,recall,f1-score,support,,,precision,recall,f1-score,support,,,precision,recall,f1-score,support
expand,0.454545455,0.05,0.09009009,100,,macro avg,0.523441479,0.516398467,0.517358412,406,,Responsibilities,0.543859649,0.607843137,0.574074074,51
usage,0.838797814,0.718969555,0.774274905,427,,weighted avg,0.60351953,0.620689655,0.609939791,406,,ClassReferences,1,1,1,1
pointer,0.748898678,0.95505618,0.839506173,178,,,,,,,,Intent,0.65,0.464285714,0.541666667,28
depreciation,0.857142857,0.4,0.545454545,15,,,,,,,,KeyMessages,0.741935484,0.58974359,0.657142857,39
rational,0.454545455,0.073529412,0.126582278,68,,,,,,,,Collaboration,1,0.125,0.222222222,8
average,,,0.784347826,,,,,,,,,average,,,0.678200692,
macro avg,0.729034467,0.587318897,0.6001779,1725,,,,,,,,macro avg,0.743368427,0.595142977,0.616407209,289
weighted avg,0.760863696,0.784347826,0.751509843,1725,,,,,,,,weighted avg,0.683814277,0.678200692,0.667073104,289
,,,,,,,,,,,,,,,,
Java Averages,,,,,,Python,,,,,,Pharo,,,,
Original,0.776231884,,,,,Original,0.588669951,,,,,Original,0.685121107,,,
Pipeline,0.786086957,,,,,Pipeline,0.628078818,,,,,Pipeline,0.702422145,,,
Tuned,0.784347826,,,,,Tuned,0.620689655,,,,,Tuned,0.678200692,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Averages Across Datasets,,,,,,,,,,,,,,,,
Java,0.782222222,,,,,,,,,,,,,,,
Python,0.612479475,,,,,,,,,,,,,,,
Pharo,0.688581315,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
